neighbourhood_group,price_category,mean_price,mean_minimum_nights,mean_number_of_reviews,mean_availability_365,listing_count,rank_listings,rank_price
Manhattan,High,515.1267605633802,5.429577464788732,44.82535211267606,176.50281690140844,710,3.0,1.0
Brooklyn,High,433.16831683168317,4.884488448844884,48.864686468646866,185.9009900990099,303,4.0,2.0
Manhattan,Medium,172.95579305319407,5.148409035705611,55.13820743259655,123.76730629098859,4117,1.0,3.0
Brooklyn,Medium,160.8949799815214,4.78688019710502,61.62457653218355,141.53711117955035,3247,2.0,4.0
